state,$default,$end,'!','%','&','(',')','*','+',"','",'-','.','/',':',';','<','=','>','[',']','^','{','|','}','~',ADD_ASSIGN,ALIGNAS,ALIGNOF,AND_ASSIGN,AND_OP,ATOMIC,AUTO,BOOL,BREAK,CASE,CHAR,COMPLEX,CONST,CONTINUE,DEC_OP,DEFAULT,DIV_ASSIGN,DO,DOUBLE,ELIF,ELLIPSIS,ELSE,ENUM,ENUMERATION_CONSTANT,EQ_OP,EXCEPT,EXTERN,FLOAT,FOR,FOREACH,FUNC_NAME,F_CONSTANT,GENERIC,GE_OP,GOTO,IDENTIFIER,IF,IMAGINARY,IN,INC_OP,INLINE,INT,I_CONSTANT,LEFT_ASSIGN,LEFT_OP,LE_OP,LONG,MOD_ASSIGN,MUL_ASSIGN,NE_OP,NORETURN,OR_ASSIGN,OR_OP,PASS,PRINT,PTR_OP,RANGE,REGISTER,RESTRICT,RETURN,RIGHT_ASSIGN,RIGHT_OP,SHORT,SIGNED,SIZEOF,STATIC,STATIC_ASSERT,STRING_LITERAL,STRUCT,SUB_ASSIGN,SWITCH,THREAD_LOCAL,TH_OP,TRY,TYPEDEF,TYPEDEF_NAME,UNION,UNSIGNED,VOID,VOLATILE,WHILE,XOR_ASSIGN
42,r92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,s67,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,s27,s5,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,s3,s18,,,,,,,,,,s22,,,s7,s14,,,,,s15,,,,s28,,,,,,,s6,s9,,,,s13,s16,,s4,s29,,s23,,,s30,,,s2,s1,s24,s17,s20,s10,,
44,r278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,r280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,r152,,,,,,,,,,,,,,,,,,,,,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,s27,,s11,,,s12,s21,s8,,s82,,,,s19,,,,s25,s83,,,,s18,,,s79,s77,s85,,,s75,,s22,,s81,,s14,s76,,,,s15,,,,,,,,s74,,,,s9,,,,s13,s16,s80,,,s78,s23,,,,,,,s1,s24,s17,s20,s10,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s27,,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,,s18,,,,,,,,,,s22,,,,s14,,,,,s15,,,,,,,,,,,,s9,,,,s13,s16,,,,,s23,,,,,,,s1,s24,s17,s20,s10,,
50,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,,,,,,,,,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,s74,,,,,,,,,,s80,,,s78,,,,,,,,,,,,,,
51,r168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,s52,,s53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,r185,,,,,,,s53,,,,,,,,,,,,,,,,,,,,,,,s120,,,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,s10,,
54,r90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,s124,,,,,s125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,r103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
